Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000292	25	4	2	5	13	1	10	5	7	6	10	10	8	6	5	117
OG0000293	11	2	9	14	11	1	2	9	0	2	23	3	14	8	8	117
OG0000294	2	6	9	8	13	1	4	15	6	3	6	10	11	12	11	117
OG0000295	0	8	23	16	7	0	16	24	0	1	10	5	2	3	2	117
OG0000296	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	117
OG0000297	0	22	9	12	11	1	0	7	6	0	13	13	9	5	8	116
OG0000298	10	3	13	10	6	0	6	20	8	3	13	10	8	6	0	116
OG0000299	2	12	10	9	11	1	1	37	2	3	2	1	1	0	24	116
OG0000300	0	40	5	8	11	1	0	4	2	2	6	15	11	7	4	116
OG0000301	5	7	4	8	10	1	4	9	0	3	13	3	14	13	21	115
OG0000302	5	15	10	11	12	1	0	15	3	1	12	4	10	2	14	115
OG0000303	2	0	27	4	10	0	0	15	1	1	12	0	11	13	19	115
OG0000304	12	6	6	5	8	0	8	10	1	3	13	17	16	6	3	114
OG0000305	6	5	10	13	10	2	3	7	1	3	10	9	11	9	15	114
OG0000306	8	2	8	7	13	1	6	11	5	5	17	9	7	10	4	113
OG0000307	0	0	13	7	0	0	0	1	0	87	0	3	1	0	1	113
OG0000308	0	0	0	1	0	0	0	1	0	0	111	0	0	0	0	113
OG0000309	16	2	6	7	7	0	6	11	3	17	11	12	5	4	5	112
OG0000310	8	28	4	7	5	0	0	5	3	1	8	33	2	1	7	112
OG0000311	1	0	16	13	8	0	0	13	0	0	22	17	12	8	2	112
OG0000312	4	2	9	9	6	1	4	17	4	3	9	10	6	16	12	112
OG0000313	24	3	4	7	10	0	1	10	4	4	16	5	10	7	6	111
OG0000314	6	0	25	1	0	0	0	61	0	18	0	0	0	0	0	111
OG0000315	3	1	5	7	12	0	0	18	14	5	7	17	6	4	12	111
OG0000316	5	7	8	6	16	1	2	6	4	0	9	13	12	12	9	110
OG0000317	1	7	15	13	9	1	0	15	5	0	5	5	15	12	7	110
OG0000318	7	14	8	8	9	2	12	8	5	3	7	8	7	5	7	110
OG0000319	1	26	7	8	10	1	1	4	5	2	7	5	7	6	19	109
OG0000320	0	0	4	1	40	0	0	3	0	0	1	1	12	47	0	109
OG0000321	9	11	4	7	7	1	10	6	9	1	6	6	9	12	10	108
OG0000322	0	87	1	3	0	1	0	0	0	11	0	0	3	1	1	108
OG0000323	7	8	7	7	8	2	7	6	4	24	7	6	7	3	5	108
OG0000324	1	11	8	10	10	2	3	17	1	1	17	2	6	6	13	108
OG0000325	9	3	7	8	8	2	8	10	5	6	14	8	6	7	7	108
OG0000326	0	58	4	8	1	0	0	30	0	0	2	0	4	1	0	108
OG0000327	0	13	1	5	4	0	0	48	0	0	1	1	28	1	6	108
OG0000328	0	0	4	4	0	0	0	93	1	0	1	1	0	0	4	108
OG0000329	0	16	8	5	22	1	0	14	6	0	7	3	13	7	5	107
